host_category_raw,week,avg_heat,total_heat,topic_count,normalized_heat,mau_millions,dau_millions,heat_per_mau,heat_per_dau
互联网,2024-01-29,435425.1111111111,3918826,9,0.005089140374780262,588.0,255.0,6664.670068027211,15367.945098039216
体育,2024-01-29,346552.48076923075,36041458,104,0.04680484386746109,588.0,255.0,61294.99659863945,141339.05098039214
公益,2024-01-29,159396.5,318793,2,0.00041399703061511893,588.0,255.0,542.1649659863946,1250.1686274509805
其他,2024-01-29,363343.6911564626,267057613,735,0.34681143809670095,588.0,255.0,454179.6139455782,1047284.7568627452
军事,2024-01-29,531016.0,1062032,2,0.0013791962007266032,588.0,255.0,1806.1768707482993,4164.83137254902
动漫,2024-01-29,135540.66666666666,406622,3,0.0005280551975193335,588.0,255.0,691.5340136054422,1594.5960784313725
婚庆,2024-01-29,102371.0,102371,1,0.00013294297560203749,588.0,255.0,174.10034013605443,401.4549019607843
情感,2024-01-29,389302.0,9732550,25,0.012639069240269314,588.0,255.0,16551.955782312925,38166.86274509804
搞笑,2024-01-29,231835.5128205128,9041585,39,0.011741755126537282,588.0,255.0,15376.845238095239,35457.19607843137
摄影,2024-01-29,471622.0,471622,1,0.0006124667341276741,588.0,255.0,802.078231292517,1849.4980392156863
数码,2024-01-29,368387.5,736775,2,0.0009568047674555409,588.0,255.0,1253.0187074829932,2889.3137254901962
时事,2024-01-29,433224.23728813557,25560230,59,0.03319351215942471,588.0,255.0,43469.77891156462,100236.19607843137
时尚,2024-01-29,192787.0,192787,1,0.000250360721663264,588.0,255.0,327.8690476190476,756.0274509803921
明星,2024-01-29,440838.95,70534232,160,0.091598506255526,588.0,255.0,119956.1768707483,276604.831372549
明星-内地,2024-01-29,458170.6376811594,31613774,69,0.041054880635827795,588.0,255.0,53764.921768707485,123975.58431372549
明星-日韩,2024-01-29,438845.0,4388450,10,0.005699012428136498,588.0,255.0,7463.350340136054,17209.607843137255
明星-港台,2024-01-29,769652.6666666666,2308958,3,0.002998502965294168,588.0,255.0,3926.799319727891,9054.73725490196
星座,2024-01-29,588570.0,588570,1,0.0007643399707934006,588.0,255.0,1000.969387755102,2308.1176470588234
汽车,2024-01-29,272641.5,1090566,4,0.0014162515666586398,588.0,255.0,1854.704081632653,4276.729411764706
游戏,2024-01-29,240474.6126126126,26692682,111,0.03466415852027376,588.0,255.0,45395.71768707483,104677.18431372549
电影,2024-01-29,381958.36363636365,4201542,11,0.005456286405299702,588.0,255.0,7145.4795918367345,16476.63529411765
电影-华语电影,2024-01-29,274107.1,2741071,10,0.0035596617701932434,588.0,255.0,4661.68537414966,10749.298039215686
电影-美国电影,2024-01-29,223229.0,223229,1,0.0002898938908545118,588.0,255.0,379.64115646258506,875.4078431372549
电视剧,2024-01-29,368487.7974683544,29110536,79,0.03780407808080642,588.0,255.0,49507.71428571428,114158.96470588235
电视剧-国产剧,2024-01-29,286602.21428571426,4012431,14,0.0052106994806913965,588.0,255.0,6823.8622448979595,15735.023529411765
