target,policy_date,n,intercept,trend,level_change,p_level,slope_change,p_slope,r_squared,group
information_gap_prop,2024-11-12,608,0.05024885812857673,-7.492781190898622e-05,0.0006050209614747021,0.7985115261775056,5.7468042651776594e-05,0.00016472990503951378,0.20356082122677055,overall
information_gap_sum,2024-11-12,608,5.349291139524889,0.00016902682613397207,0.22128707280308432,0.5929019642374174,-0.004753388031441317,0.04313953872226892,0.037409178168771984,overall
arousal_mean,2024-11-12,608,0.025058247197505823,4.815120207171758e-06,-0.002502938283895857,0.2902462179287276,-6.027387845934238e-06,0.6775520034037741,0.014104635096276796,overall
arousal_sum,2024-11-12,608,2.3510546752416386,0.008898449020794227,-0.10652216704387471,0.8062777107671302,-0.010382111965543478,1.941433807802097e-05,0.08247506673351523,overall
information_gap_prop,2024-11-12,608,0.030960820481218013,-2.7013560750363285e-05,0.0035383201989456882,0.14479885262735542,1.3547900077076044e-05,0.3979928694588384,0.02955418730445558,official
information_gap_sum,2024-11-12,608,1.5092096673024118,0.005201633685497354,0.782004994896954,0.006244508059933791,-0.007402875426513243,3.9306697648906385e-06,0.1439088601144295,official
arousal_mean,2024-11-12,608,0.03064800899042092,-2.0515916505209137e-05,-0.0006866076685000033,0.8077004529939794,1.957781855892547e-05,0.2885768283792721,0.021923759222078454,official
arousal_sum,2024-11-12,608,1.1773562326196678,0.007771019098089336,0.15703350756214646,0.6610255258080481,-0.008155152288334497,3.054708586163239e-05,0.12927855643468922,official
information_gap_prop,2024-11-12,608,0.06814157017975973,-8.004259535715187e-05,-0.006923797852275589,0.18654169539166388,5.4078605259638165e-05,0.08489763586041289,0.13342767176498593,non_official
information_gap_sum,2024-11-12,608,3.8400814722224776,-0.005032606859363383,-0.5607179220938698,0.03584571932774302,0.0026494873950719255,0.0915292336230209,0.23709552329747763,non_official
arousal_mean,2024-11-12,608,0.0194779548727538,2.6602556198218993e-05,-0.0030251272176767268,0.4886974680665159,-2.085991480005563e-05,0.41518825382462654,0.008221429082311715,non_official
arousal_sum,2024-11-12,608,1.1736984426219708,0.0011274299227048892,-0.26355567460602114,0.24440197392745044,-0.0022269596772089826,0.06938662423124592,0.02877704766316136,non_official
