bin,est,se,metric
-1,-26.923965798805412,3.144234618085748,minutes_on_rank_mean
-6,-2.4356288339994876,3.326306717752717,minutes_on_rank_mean
-5,1.2015549002705903,2.089613404734788,minutes_on_rank_mean
-4,-6.1052705953947815,2.448932972107396,minutes_on_rank_mean
-3,-22.159116904035514,2.8232689980127454,minutes_on_rank_mean
-2,-29.658390204713342,2.3777821166550233,minutes_on_rank_mean
0,-28.249596744065904,3.438371844963713,minutes_on_rank_mean
1,-34.99820818392959,3.1871144994256753,minutes_on_rank_mean
2,-45.838789661859224,5.185664537796094,minutes_on_rank_mean
3,-36.30087130749421,1.8634529450164146,minutes_on_rank_mean
4,-35.865315395945174,5.780524662529953,minutes_on_rank_mean
5,-34.76561610315682,4.228009329907486,minutes_on_rank_mean
6,-29.659272637966495,1.9454318048760748,minutes_on_rank_mean
