week_start,category,host_category_raw,is_official,weekly_total_minutes,topic_count,weekly_avg_minutes,time_share
2024-01-29,互联网 (非官媒),互联网,0,1388,9,154.22222222222223,0.007351850674802432
2024-01-29,体育 (官媒),体育,1,1460,17,85.88235294117646,0.007733214686751838
2024-01-29,体育 (非官媒),体育,0,10373,89,116.5505617977528,0.05494290133265535
2024-01-29,公益 (官媒),公益,1,47,2,23.5,0.00024894595224475097
2024-01-29,其他 (非官媒),其他,0,1536,16,96.0,0.008135765588253989
2024-01-29,军事 (官媒),军事,1,120,2,60.0,0.0006356066865823429
2024-01-29,动漫 (非官媒),动漫,0,42,3,14.0,0.00022246234030382
2024-01-29,婚庆 (非官媒),婚庆,0,6,1,6.0,3.178033432911714e-05
2024-01-29,情感 (官媒),情感,1,1569,13,120.6923076923077,0.008310557427064132
2024-01-29,情感 (非官媒),情感,0,2007,12,167.25,0.010630521833089684
2024-01-29,搞笑 (非官媒),搞笑,0,3452,39,88.51282051282051,0.018284285684018728
2024-01-29,摄影 (非官媒),摄影,0,67,1,67.0,0.00035488040000847477
2024-01-29,数码 (非官媒),数码,0,115,2,57.5,0.0006091230746414119
2024-01-29,时事 (官媒),时事,1,6408,54,118.66666666666667,0.03394139706349711
2024-01-29,时事 (非官媒),时事,0,530,5,106.0,0.002807262865738681
2024-01-29,时尚 (非官媒),时尚,0,93,1,93.0,0.0004925951821013157
2024-01-29,明星 (官媒),明星,1,354,3,118.0,0.0018750397254179113
2024-01-29,明星 (非官媒),明星,0,31384,157,199.89808917197453,0.1662323354308354
2024-01-29,明星-内地 (官媒),明星-内地,1,161,2,80.5,0.0008527723044979767
2024-01-29,明星-内地 (非官媒),明星-内地,0,11394,67,170.0597014925373,0.060350854890993455
2024-01-29,明星-日韩 (非官媒),明星-日韩,0,1728,10,172.8,0.009152736286785737
2024-01-29,明星-港台 (非官媒),明星-港台,0,431,3,143.66666666666666,0.002282887349308248
2024-01-29,星座 (非官媒),星座,0,55,1,55.0,0.00029131973135024047
2024-01-29,校园 (非官媒),校园,0,113,1,113.0,0.0005985296298650396
2024-01-29,汽车 (非官媒),汽车,0,338,4,84.5,0.0017902921672069323
2024-01-29,游戏 (非官媒),游戏,0,7913,117,67.63247863247864,0.041912964257717324
2024-01-29,电商 (非官媒),电商,0,81,1,81.0,0.0004290345134430814
2024-01-29,电影 (非官媒),电影,0,1383,11,125.72727272727273,0.007325367062861501
2024-01-29,电影-华语电影 (非官媒),电影-华语电影,0,1135,10,113.5,0.006011779910591326
2024-01-29,电影-美国电影 (非官媒),电影-美国电影,0,55,1,55.0,0.00029131973135024047
2024-01-29,电视剧 (官媒),电视剧,1,1712,5,342.4,0.009067988728574759
2024-01-29,电视剧 (非官媒),电视剧,0,10291,76,135.4078947368421,0.05450857009682408
2024-01-29,电视剧-国产剧 (非官媒),电视剧-国产剧,0,2696,14,192.57142857142858,0.01427996355854997
2024-01-29,社会 (官媒),社会,1,26735,177,151.045197740113,0.1416078730481578
2024-01-29,社会 (非官媒),社会,0,40709,224,181.73660714285714,0.21562427170067164
2024-01-29,科技 (官媒),科技,1,758,3,252.66666666666666,0.004014915570245132
2024-01-29,科技 (非官媒),科技,0,302,3,100.66666666666667,0.0015996101612322294
2024-01-29,科普 (官媒),科普,1,574,3,191.33333333333334,0.0030403186508188734
2024-01-29,科普 (非官媒),科普,0,41,1,41.0,0.0002171656179156338
2024-01-29,综艺 (官媒),综艺,1,3036,12,253.0,0.016080849170533273
2024-01-29,综艺 (非官媒),综艺,0,5562,39,142.6153846153846,0.02946036992309159
2024-01-29,综艺-内地综艺 (官媒),综艺-内地综艺,1,87,1,87.0,0.00046081484777219856
2024-01-29,综艺-内地综艺 (非官媒),综艺-内地综艺,0,1233,12,102.75,0.0065308587046335725
2024-01-29,综艺-港台综艺 (非官媒),综艺-港台综艺,0,28,1,28.0,0.00014830822686921332
2024-01-29,美图 (非官媒),美图,0,59,1,59.0,0.0003125066209029852
2024-01-29,美妆 (非官媒),美妆,0,89,4,22.25,0.00047140829254857096
2024-01-29,美食 (非官媒),美食,0,40,1,40.0,0.00021186889552744762
2024-01-29,萌宠 (非官媒),萌宠,0,113,2,56.5,0.0005985296298650396
2024-01-29,读书 (非官媒),读书,0,8,1,8.0,4.2373779105489524e-05
2024-01-29,财经 (官媒),财经,1,1250,12,104.16666666666667,0.006620902985232738
2024-01-29,财经 (非官媒),财经,0,4570,40,114.25,0.02420602131401089
2024-01-29,音乐 (非官媒),音乐,0,772,12,64.33333333333333,0.0040890696836797386
2024-01-29,音乐-华语音乐 (非官媒),音乐-华语音乐,0,780,9,86.66666666666667,0.004131443462785229
2024-01-29,音乐-日韩音乐 (非官媒),音乐-日韩音乐,0,1613,7,230.42857142857142,0.008543613212144325
2024-02-05,互联网 (非官媒),互联网,0,837,12,69.75,0.0025245289506465145
2024-02-05,体育 (官媒),体育,1,5659,40,141.475,0.01706846993035678
2024-02-05,体育 (非官媒),体育,0,30382,211,143.99052132701422,0.09163708312848555
2024-02-05,健康 (官媒),健康,1,718,4,179.5,0.0021656054797660664
2024-02-05,公益 (官媒),公益,1,13,4,3.25,3.9210127070973344e-05
2024-02-05,公益 (非官媒),公益,0,16,1,16.0,4.825861793350566e-05
2024-02-05,其他 (官媒),其他,1,80,3,26.666666666666668,0.0002412930896675283
2024-02-05,其他 (非官媒),其他,0,725,14,51.785714285714285,0.002186718625111975
2024-02-05,军事 (官媒),军事,1,407,4,101.75,0.0012275785936835502
2024-02-05,动漫 (非官媒),动漫,0,234,5,46.8,0.0007057822872775202
2024-02-05,动漫-国产动漫 (非官媒),动漫-国产动漫,0,25,1,25.0,7.540409052110259e-05
2024-02-05,国学 (官媒),国学,1,660,2,330.0,0.0019906679897571085
2024-02-05,情感 (官媒),情感,1,1736,11,157.8181818181818,0.005236060045785364
2024-02-05,情感 (非官媒),情感,0,2705,24,112.70833333333333,0.0081587225943833
2024-02-05,搞笑 (非官媒),搞笑,0,6674,71,94.0,0.020129876005513546
2024-02-05,政务 (官媒),政务,1,19,1,19.0,5.7307108796037966e-05
2024-02-05,教育 (官媒),教育,1,393,1,393.0,0.0011853523029917326
2024-02-05,数码 (非官媒),数码,0,1088,8,136.0,0.0032815860194783846
2024-02-05,时事 (官媒),时事,1,12935,85,152.1764705882353,0.03901407643561848
2024-02-05,时事 (非官媒),时事,0,1024,6,170.66666666666666,0.003088551547744362
2024-02-05,时尚 (非官媒),时尚,0,373,3,124.33333333333333,0.0011250290305748506
2024-02-05,明星 (官媒),明星,1,202,3,67.33333333333333,0.0006092650514105089
2024-02-05,明星 (非官媒),明星,0,43349,246,176.21544715447155,0.13074767679997104
2024-02-05,明星-内地 (官媒),明星-内地,1,1012,4,253.0,0.0030523575842942327
2024-02-05,明星-内地 (非官媒),明星-内地,0,20620,96,214.79166666666666,0.062193293861805415
2024-02-05,明星-日韩 (非官媒),明星-日韩,0,1605,12,133.75,0.004840942611454786
2024-02-05,明星-欧美 (非官媒),明星-欧美,0,81,1,81.0,0.0002443092532883724
2024-02-05,明星-港台 (非官媒),明星-港台,0,1762,6,293.6666666666667,0.00531448029992731
2024-02-05,星座 (非官媒),星座,0,588,2,294.0,0.001773504209056333
2024-02-05,校园 (非官媒),校园,0,84,1,84.0,0.0002533577441509047
2024-02-05,汽车 (官媒),汽车,1,94,1,94.0,0.0002835193803593457
2024-02-05,汽车 (非官媒),汽车,0,47,1,47.0,0.00014175969017967286
2024-02-05,游戏 (非官媒),游戏,0,10284,115,89.42608695652174,0.03101822667676076
2024-02-05,电商 (非官媒),电商,0,1354,6,225.66666666666666,0.004083885542622916
2024-02-05,电影 (非官媒),电影,0,10748,63,170.6031746031746,0.032417726596832425
2024-02-05,电影-华语电影 (非官媒),电影-华语电影,0,4284,22,194.72727272727272,0.01292124495169614
2024-02-05,电影-美国电影 (非官媒),电影-美国电影,0,364,2,182.0,0.0010978835579872536
2024-02-05,电视剧 (官媒),电视剧,1,510,7,72.85714285714286,0.001538243446630493
2024-02-05,电视剧 (非官媒),电视剧,0,12688,87,145.83908045977012,0.03826908402126999
2024-02-05,电视剧-国产剧 (非官媒),电视剧-国产剧,0,5346,24,222.75,0.016124410717032578
2024-02-05,电视剧-韩剧 (非官媒),电视剧-韩剧,0,19,1,19.0,5.7307108796037966e-05
2024-02-05,社会 (官媒),社会,1,46976,291,161.4295532646048,0.1416873022527726
2024-02-05,社会 (非官媒),社会,0,58630,300,195.43333333333334,0.1768376730900898
2024-02-05,科技 (官媒),科技,1,197,2,98.5,0.0005941842333062884
2024-02-05,科技 (非官媒),科技,0,612,6,102.0,0.0018458921359565913
2024-02-05,科普 (官媒),科普,1,1962,10,196.2,0.005917713024096131
2024-02-05,综艺 (官媒),综艺,1,4328,29,149.24137931034483,0.01305395615101328
2024-02-05,综艺 (非官媒),综艺,0,14500,98,147.9591836734694,0.0437343725022395
2024-02-05,综艺-内地综艺 (官媒),综艺-内地综艺,1,1172,6,195.33333333333334,0.003534943763629289
2024-02-05,综艺-内地综艺 (非官媒),综艺-内地综艺,0,3110,30,103.66666666666667,0.009380268860825162
2024-02-05,美图 (非官媒),美图,0,247,2,123.5,0.0007449924143484935
2024-02-05,美妆 (非官媒),美妆,0,45,2,22.5,0.00013572736293798466
2024-02-05,美食 (非官媒),美食,0,173,3,57.666666666666664,0.0005217963064060299
2024-02-05,萌宠 (非官媒),萌宠,0,212,3,70.66666666666667,0.00063942668761895
2024-02-05,读书 (非官媒),读书,0,249,2,124.5,0.0007510247415901818
2024-02-05,财经 (官媒),财经,1,4289,21,204.23809523809524,0.01293632576980036
2024-02-05,财经 (非官媒),财经,0,6325,64,98.828125,0.019077234901838956
2024-02-05,音乐 (非官媒),音乐,0,1942,17,114.23529411764706,0.005857389751679249
2024-02-05,音乐-华语音乐 (非官媒),音乐-华语音乐,0,1969,15,131.26666666666668,0.00593882616944204
2024-02-05,音乐-日韩音乐 (非官媒),音乐-日韩音乐,0,2865,13,220.3846153846154,0.008641308773718357
2024-02-12,互联网 (非官媒),互联网,0,536,8,67.0,0.001572506945727974
2024-02-12,体育 (官媒),体育,1,1996,26,76.76923076923077,0.005855828103867604
2024-02-12,体育 (非官媒),体育,0,18333,180,101.85,0.053785018350804
2024-02-12,健康 (官媒),健康,1,385,2,192.5,0.0011295059218381902
2024-02-12,健康-医疗 (非官媒),健康-医疗,0,81,1,81.0,0.00023763631082829455
2024-02-12,公益 (官媒),公益,1,90,2,45.0,0.0002640403453647717
2024-02-12,公益 (非官媒),公益,0,30,2,15.0,8.801344845492391e-05
2024-02-12,其他 (官媒),其他,1,378,4,94.5,0.0011089694505320414
2024-02-12,其他 (非官媒),其他,0,496,5,99.2,0.0014551556811214087
2024-02-12,军事 (官媒),军事,1,1050,7,150.0,0.0030804706959223368
2024-02-12,动漫 (非官媒),动漫,0,803,6,133.83333333333334,0.002355826636976797
2024-02-12,情感 (官媒),情感,1,1560,20,78.0,0.004576699319656044
2024-02-12,情感 (非官媒),情感,0,7590,31,244.83870967741936,0.02226740245909575
2024-02-12,搞笑 (非官媒),搞笑,0,5624,52,108.15384615384616,0.01649958780368307
2024-02-12,政务 (非官媒),政务,0,499,2,249.5,0.001463957025966901
2024-02-12,旅游 (非官媒),旅游,0,781,3,260.3333333333333,0.0022912834414431857
2024-02-12,时事 (官媒),时事,1,11503,86,133.75581395348837,0.033747289919232995
2024-02-12,时事 (非官媒),时事,0,1351,7,193.0,0.00396353896208674
2024-02-12,时尚 (非官媒),时尚,0,910,4,227.5,0.002669741269799359
2024-02-12,明星 (官媒),明星,1,238,3,79.33333333333333,0.000698240024409063
2024-02-12,明星 (非官媒),明星,0,63444,267,237.61797752808988,0.18613084079247308
2024-02-12,明星-内地 (官媒),明星-内地,1,1134,6,189.0,0.0033269083515961237
2024-02-12,明星-内地 (非官媒),明星-内地,0,26012,130,200.09230769230768,0.07631352737364935
2024-02-12,明星-日韩 (非官媒),明星-日韩,0,2789,13,214.53846153846155,0.00818231692469276
2024-02-12,明星-欧美 (非官媒),明星-欧美,0,535,3,178.33333333333334,0.0015695731641128098
2024-02-12,明星-港台 (非官媒),明星-港台,0,1167,5,233.4,0.00342372314489654
2024-02-12,星座 (非官媒),星座,0,151,1,151.0,0.0004430010238897837
2024-02-12,校园 (非官媒),校园,0,1778,8,222.25,0.005216263711761824
2024-02-12,汽车 (官媒),汽车,1,824,3,274.6666666666667,0.0024174360508952436
2024-02-12,汽车 (非官媒),汽车,0,66,1,66.0,0.00019362958660083262
2024-02-12,游戏 (非官媒),游戏,0,2549,29,87.89655172413794,0.007478209337053368
2024-02-12,电影 (非官媒),电影,0,16407,71,231.08450704225353,0.04813455495999789
2024-02-12,电影-华语电影 (非官媒),电影-华语电影,0,4235,25,169.4,0.012424565140220093
2024-02-12,电影-美国电影 (非官媒),电影-美国电影,0,41,1,41.0,0.00012028504622172934
