week_start,category,weekly_total_minutes,topic_count,weekly_avg_minutes,time_share
2024-01-29,互联网,1388,9,154.22222222222223,0.007351850674802432
2024-01-29,体育,11833,106,111.63207547169812,0.06267611601940719
2024-01-29,公益,47,2,23.5,0.00024894595224475097
2024-01-29,其他,1536,16,96.0,0.008135765588253989
2024-01-29,军事,120,2,60.0,0.0006356066865823429
2024-01-29,动漫,42,3,14.0,0.00022246234030382
2024-01-29,婚庆,6,1,6.0,3.178033432911714e-05
2024-01-29,情感,3576,25,143.04,0.018941079260153818
2024-01-29,搞笑,3452,39,88.51282051282051,0.018284285684018728
2024-01-29,摄影,67,1,67.0,0.00035488040000847477
2024-01-29,数码,115,2,57.5,0.0006091230746414119
2024-01-29,时事,6938,59,117.59322033898304,0.03674865992923579
2024-01-29,时尚,93,1,93.0,0.0004925951821013157
2024-01-29,明星,31738,160,198.3625,0.16810737515625332
2024-01-29,明星-内地,11555,69,167.46376811594203,0.06120362719549143
2024-01-29,明星-日韩,1728,10,172.8,0.009152736286785737
2024-01-29,明星-港台,431,3,143.66666666666666,0.002282887349308248
2024-01-29,星座,55,1,55.0,0.00029131973135024047
2024-01-29,校园,113,1,113.0,0.0005985296298650396
2024-01-29,汽车,338,4,84.5,0.0017902921672069323
2024-01-29,游戏,7913,117,67.63247863247864,0.041912964257717324
2024-01-29,电商,81,1,81.0,0.0004290345134430814
2024-01-29,电影,1383,11,125.72727272727273,0.007325367062861501
2024-01-29,电影-华语电影,1135,10,113.5,0.006011779910591326
2024-01-29,电影-美国电影,55,1,55.0,0.00029131973135024047
2024-01-29,电视剧,12003,81,148.1851851851852,0.06357655882539884
2024-01-29,电视剧-国产剧,2696,14,192.57142857142858,0.01427996355854997
2024-01-29,社会,67444,401,168.18952618453866,0.3572321447488294
2024-01-29,科技,1060,6,176.66666666666666,0.005614525731477362
2024-01-29,科普,615,4,153.75,0.003257484268734507
2024-01-29,综艺,8598,51,168.58823529411765,0.045541219093624866
2024-01-29,综艺-内地综艺,1320,13,101.53846153846153,0.006991673552405772
2024-01-29,综艺-港台综艺,28,1,28.0,0.00014830822686921332
2024-01-29,美图,59,1,59.0,0.0003125066209029852
2024-01-29,美妆,89,4,22.25,0.00047140829254857096
2024-01-29,美食,40,1,40.0,0.00021186889552744762
2024-01-29,萌宠,113,2,56.5,0.0005985296298650396
2024-01-29,读书,8,1,8.0,4.2373779105489524e-05
2024-01-29,财经,5820,52,111.92307692307692,0.03082692429924363
2024-01-29,音乐,772,12,64.33333333333333,0.0040890696836797386
2024-01-29,音乐-华语音乐,780,9,86.66666666666667,0.004131443462785229
2024-01-29,音乐-日韩音乐,1613,7,230.42857142857142,0.008543613212144325
2024-02-05,互联网,837,12,69.75,0.0025245289506465145
