month_rel,att,se,lo,hi
-9,0.4297886449220414,6.343018076478637e-14,0.42978864492191704,0.42978864492216573
-8,0.6165266895267223,2.7754687422997877e-14,0.6165266895266679,0.6165266895267767
-7,0.7412585493427741,7.526100261565199e-14,0.7412585493426266,0.7412585493429217
-6,0.7167468610694812,7.087224138383445e-14,0.7167468610693423,0.71674686106962
-5,0.6664233712952807,2.306700415250296e-14,0.6664233712952355,0.6664233712953259
-4,0.5438695937471891,3.309284139618544e-14,0.5438695937471243,0.543869593747254
-3,0.19127158224353025,4.63685280894259e-14,0.19127158224343938,0.19127158224362112
-2,0.15443054478188856,4.3633883562558674e-14,0.15443054478180304,0.15443054478197407
0,0.08896211451856573,5.1311044339159045e-14,0.08896211451846515,0.0889621145186663
1,0.3274341853755942,4.13575586531105e-14,0.32743418537551316,0.32743418537567526
2,0.3880032573362797,4.9069345807345435e-14,0.3880032573361835,0.3880032573363759
3,0.12990056583201515,9.41008164741793e-15,0.1299005658319967,0.1299005658320336
4,0.32011538005533247,1.152067043636994e-14,0.3201153800553099,0.32011538005535506
5,0.36288991684170213,2.7422283965817727e-14,0.3628899168416484,0.36288991684175587
6,0.23181919991539246,1.3716534762658841e-14,0.23181919991536556,0.23181919991541935
7,0.31440586075376764,1.5794849200804536e-14,0.31440586075373667,0.3144058607537986
8,0.2708000819758869,4.910148818092709e-14,0.27080008197579064,0.27080008197598315
9,0.4396853575039561,4.2059726341930887e-14,0.43968535750387366,0.43968535750403853
10,0.3122186419695705,3.538808679539419e-14,0.31221864196950116,0.31221864196963983
11,0.23119083930449946,2.1097743144018273e-14,0.2311908393044581,0.23119083930454082
