类别,IFE_ATT,IFE_SE,IFE_pre_std,BSTS_ATT,BSTS_CI下限,BSTS_CI上限,BSTS_相对变化%,BSTS_P值
体育,-0.09114291300762459,0.00017068192892517897,0.0011576211641268974,-0.04162127949160302,-0.14983110575348454,0.06658854677027849,-41.59101517305784,0.45091859502416254
其他,-0.02982725369254251,0.0001482754060517537,0.001005652732224883,-0.004705216454113052,-0.09598639806641637,0.08657596515819029,-1.7021749912059718,0.9195258934559334
时事,0.021621074958494572,0.000988757007450998,0.006706076297660117,-0.009189152697444195,-0.04851787287462135,0.030139567479732957,-12.462089891387906,0.6469855890973448
明星,0.03586878034550946,0.0006503190541904892,0.004410678419833821,-0.02192459677169983,-0.06017603121008266,0.016326837666683004,-21.15927021802442,0.2612615656500714
明星-内地,-0.006808892240174693,0.0010332243149856473,0.007007668250821221,-0.006060057277546118,-0.017664593313564483,0.005544478758472246,-16.436017624304604,0.30605237553487497
游戏,-0.0036053325771035817,0.0010486437988619529,0.0071122482786398055,-0.014000270567483314,-0.0371691903864311,0.009168649251464472,-40.90460125314033,0.2362673689981123
电视剧,-0.001076281419150794,0.0008657324826722278,0.005871683374593328,0.0010475686993910147,-0.016879779950015057,0.018974917348797093,6.930284977841728,0.9088169849351142
社会,-0.026764259832000616,0.00034550475478400575,0.0023433272576839055,-0.037630196576251274,-0.11516057897279665,0.039900185820294094,-11.294264768354472,0.34144862130441944
综艺,-0.0022125968101202416,0.0012231603514696748,0.008295877125942817,-0.008394501920722986,-0.035148338594710074,0.018359334753264102,-21.159886992530588,0.5385642434794946
财经,-0.006031780919184426,0.0010080746601488799,0.006837094992756563,0.0012971571463397786,-0.02600940178542764,0.0286037160781072,8.190582819704389,0.9258186662449801
