host,is_official,source,host_category,host_category_raw
--宝藏,0,model_seed,Lifestyle & Services,情感
-Bruh,0,model_seed,Entertainment & Sports,明星
-IF时尚-,0,model_seed,Lifestyle & Services,时尚
-SAFEANDSOUND-blackpink,0,model_seed,Lifestyle & Services,时尚
-maimai麦麦-,0,model_seed,Entertainment & Sports,游戏
-乌篷船中客-,0,model_seed,Entertainment & Sports,电影
-关键词KEY-,0,model_seed,Entertainment & Sports,音乐
-嗷嗷泡泡机-,0,model_seed,Entertainment & Sports,电视剧
-掌舵向前-,0,model_seed,Entertainment & Sports,明星-内地
-暖阳不倾城,0,model_seed,Entertainment & Sports,明星-内地
-月国第一美少女-,0,model_seed,Entertainment & Sports,明星
-柿子的猫-,0,model_seed,Entertainment & Sports,游戏
-老坛栓蔡-,0,model_seed,Entertainment & Sports,明星
00后观察室,1,heuristic_seed,Knowledge & Culture,校园
021视频,0,model_seed,News & Information,社会
1024专员,0,model_seed,News & Information,社会
11AMYLIU,0,model_seed,Technology,数码
12届全国少数民族传统体育运动会,1,model_seed,Entertainment & Sports,体育
17173游戏网,0,model_seed,Entertainment & Sports,游戏
17号音乐仓库,0,model_seed,Entertainment & Sports,综艺-内地综艺
17号音乐仓库官博,0,model_seed,Entertainment & Sports,综艺-内地综艺
180天重启计划,0,model_seed,Entertainment & Sports,电视剧-国产剧
1818黄金眼,0,model_seed,News & Information,社会
185的男孩,0,model_seed,Entertainment & Sports,搞笑
1905电影网官博,0,heuristic_seed,Entertainment & Sports,电影-华语电影
1个帽子,0,model_seed,Entertainment & Sports,搞笑
212越野,0,model_seed,Technology,汽车
21世纪经济报道,0,model_seed,News & Information,财经
2的很有范儿-,0,model_seed,Entertainment & Sports,明星
36氪,0,model_seed,Technology,互联网
3DMGAME官方微博,0,model_seed,Entertainment & Sports,游戏
3X3黄金联赛,0,model_seed,Entertainment & Sports,运动健身
4AM战队,0,model_seed,Entertainment & Sports,游戏
4K体育,0,model_seed,Entertainment & Sports,体育
58同城,0,model_seed,Entertainment & Sports,明星
618夏日歌会,0,model_seed,Entertainment & Sports,综艺
6娱娱娱娱娱娱,0,model_seed,Entertainment & Sports,综艺
711守护者,0,model_seed,Entertainment & Sports,体育
729声工场,0,model_seed,Entertainment & Sports,动漫
8分文娱,0,model_seed,Entertainment & Sports,综艺
90后趣味青年,0,model_seed,Entertainment & Sports,搞笑
931郑州经济广播,1,manual_review,News & Information,社会
937江苏新闻广播,1,manual_review,News & Information,社会
999感冒灵,0,model_seed,Knowledge & Culture,健康
AAA嬷法世界磕学家,0,model_seed,Entertainment & Sports,游戏
ABC官方微博,0,model_seed,News & Information,公益
